,nation,varieties1,varieties2,varieties3,varieties4,varieties5,varieties7,varieties7,varieties8,varieties9,varieties10,varieties11,abv,degree,sweet,acidity,body,tannin
164,17,195,211,316,316,316,316,316,316,316,316,316,11.0,11.0,3,3,2,1
165,17,178,308,212,316,316,316,316,316,316,316,316,17.0,13.5,1,3,4,4
166,17,308,178,212,187,316,316,316,316,316,316,316,18.0,13.5,1,4,5,4
167,17,178,308,316,316,316,316,316,316,316,316,316,17.0,13.0,1,3,3,3
168,17,308,178,316,316,316,316,316,316,316,316,316,17.0,12.5,1,4,3,3
169,17,212,178,316,316,316,316,316,316,316,316,316,17.5,14.5,1,3,4,3
170,17,308,178,316,316,316,316,316,316,316,316,316,17.0,13.0,1,3,3,4
171,17,178,308,187,212,316,316,316,316,316,316,316,17.0,12.5,1,3,3,4
172,16,25,302,316,316,316,316,316,316,316,316,316,7.0,10.0,5,3,2,1
173,11,88,181,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,2,3
174,11,88,316,316,316,316,316,316,316,316,316,316,17.0,14.5,1,3,4,4
175,11,88,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,4,4
176,11,9,316,316,316,316,316,316,316,316,316,316,11.0,12.5,1,3,2,1
177,11,178,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,4,4
178,0,75,316,316,316,316,316,316,316,316,316,316,17.0,14.0,1,4,5,5
179,0,67,316,316,316,316,316,316,316,316,316,316,11.0,13.0,1,3,4,1
180,12,46,308,316,316,316,316,316,316,316,316,316,17.0,12.0,1,3,3,3
181,12,308,178,46,316,316,316,316,316,316,316,316,17.0,12.5,1,3,4,3
182,12,46,178,316,316,316,316,316,316,316,316,316,12.0,11.5,2,3,3,1
183,19,316,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,4,3,3
184,1,178,308,236,187,316,316,316,316,316,316,316,17.0,14.2,1,3,5,3
185,1,67,316,316,316,316,316,316,316,316,316,316,11.0,13.5,1,3,4,1
186,24,308,178,316,316,316,316,316,316,316,316,316,17.0,12.5,1,3,4,3
187,24,75,236,316,316,316,316,316,316,316,316,316,17.0,12.5,1,3,4,4
188,24,75,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,4,4
189,24,178,75,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,3
190,24,46,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,4,3
191,17,308,178,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,4,4
192,24,236,178,308,75,212,316,316,316,316,316,316,17.0,14.5,1,3,5,4
193,11,88,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,4,4,4
194,11,88,308,316,316,316,316,316,316,316,316,316,17.0,13.0,1,3,4,4
195,11,67,242,259,316,316,316,316,316,316,316,316,9.0,12.5,1,3,2,1
196,11,283,67,316,316,316,316,316,316,316,316,316,9.0,13.0,1,3,3,1
197,11,308,316,316,316,316,316,316,316,316,316,316,17.0,14.0,1,3,4,4
198,11,283,216,67,316,316,316,316,316,316,316,316,11.0,13.0,1,3,3,1
199,11,88,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,3
200,11,88,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,3
201,11,88,178,316,316,316,316,316,316,316,316,316,17.0,14.0,1,4,4,4
202,11,88,308,178,316,316,316,316,316,316,316,316,17.0,14.0,1,4,4,4
203,0,308,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,4,5
204,0,67,316,316,316,316,316,316,316,316,316,316,11.0,12.5,1,3,3,1
205,0,75,316,316,316,316,316,316,316,316,316,316,17.0,14.5,1,3,4,4
206,12,46,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,4,5,3
207,12,46,253,252,316,316,316,316,316,316,316,316,17.0,13.5,1,4,5,4
208,12,217,316,316,316,316,316,316,316,316,316,316,11.0,12.5,1,4,2,1
209,11,88,325,178,316,316,316,316,316,316,316,316,17.0,13.5,1,4,4,3
210,11,67,316,316,316,316,316,316,316,316,316,316,11.0,13.5,1,3,3,1
211,11,178,316,316,316,316,316,316,316,316,316,316,17.0,14.5,1,4,5,5
212,11,88,178,316,316,316,316,316,316,316,316,316,12.0,13.0,1,3,2,1
213,11,88,325,316,316,316,316,316,316,316,316,316,17.0,13.5,1,4,5,4
214,11,240,316,316,316,316,316,316,316,316,316,316,17.0,12.5,1,4,3,3
215,11,180,316,316,316,316,316,316,316,316,316,316,17.0,14.5,1,4,3,4
216,11,180,316,316,316,316,316,316,316,316,316,316,17.0,14.0,1,4,3,4
217,11,149,316,316,316,316,316,316,316,316,316,316,11.0,13.0,1,4,3,1
218,24,308,316,316,316,316,316,316,316,316,316,316,18.0,14.5,1,3,4,4
219,24,308,236,187,316,316,316,316,316,316,316,316,18.0,14.5,1,3,4,4
220,24,236,203,316,316,316,316,316,316,316,316,316,18.0,14.0,1,3,3,3
221,17,179,316,316,316,316,316,316,316,316,316,316,7.0,12.5,5,2,4,1
